make,num-of-doors,body-style,num-of-cylinders,horsepower,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,L/100km-mean,
peugot,four,wagon,four,95,19,24,16695,12.37,9.79,11.08,
peugot,four,sedan,four,97,19,24,16630,12.37,9.79,11.08,
peugot,four,sedan,four,95,19,24,15580,12.37,9.79,11.08,
peugot,four,wagon,four,95,25,25,13860,9.40,9.40,9.40,
peugot,four,sedan,four,95,28,33,13200,8.39,7.12,7.76,
peugot,four,wagon,four,97,19,24,12440,12.37,9.79,11.08,
peugot,four,sedan,four,97,19,24,11900,12.37,9.79,11.08,
plymouth,two,hatchback,four,145,19,24,12764,12.37,9.79,11.08,
porsche,two,convertible,six,207,17,25,37028,13.82,9.40,11.61,
porsche,two,hardtop,six,207,17,25,34028,13.82,9.40,11.61,
porsche,two,hardtop,six,207,17,25,32528,13.82,9.40,11.61,
porsche,two,hatchback,four,143,19,27,22018,12.37,8.70,10.54,
saab,four,sedan,four,160,19,26,18620,12.37,9.04,10.70,
saab,two,hatchback,four,160,19,26,18150,12.37,9.04,10.70,
saab,four,sedan,four,110,21,28,15510,11.19,8.39,9.79,
saab,two,hatchback,four,110,21,28,15040,11.19,8.39,9.79,
saab,four,sedan,four,110,21,28,12170,11.19,8.39,9.79,
saab,two,hatchback,four,110,21,28,11850,11.19,8.39,9.79,
subaru,four,wagon,four,111,23,23,11694,10.22,10.22,10.22,
subaru,four,sedan,four,111,24,29,11259,9.79,8.10,8.95,
subaru,four,wagon,four,94,25,31,10198,9.40,7.58,8.49,
toyota,two,convertible,four,116,24,30,17669,9.79,7.83,8.81,
toyota,two,hatchback,six,161,20,24,16558,11.75,9.79,10.77,
toyota,two,hatchback,six,161,19,24,15998,12.37,9.79,11.08,
toyota,four,wagon,six,156,19,24,15750,12.37,9.79,11.08,
toyota,four,sedan,six,156,20,24,15690,11.75,9.79,10.77,
toyota,two,hatchback,four,116,24,30,11549,9.79,7.83,8.81,
toyota,four,hatchback,four,92,27,32,11248,8.70,7.34,8.02,
toyota,two,hardtop,four,116,24,30,11199,9.79,7.83,8.81,
toyota,four,sedan,four,92,27,32,10898,8.70,7.34,8.02,
toyota,four,sedan,four,73,30,33,10698,7.83,7.12,7.48,
volkswagen,four,sedan,four,68,33,38,13845,7.12,6.18,6.65,
volkswagen,four,sedan,five,110,19,24,13295,12.37,9.79,11.08,
volkswagen,four,wagon,four,88,25,31,12290,9.40,7.58,8.49,
volkswagen,two,convertible,four,90,24,29,11595,9.79,8.10,8.95,
volvo,four,sedan,four,114,19,25,22625,12.37,9.40,10.88,
volvo,four,sedan,six,106,26,27,22470,9.04,8.70,8.87,
volvo,four,sedan,six,134,18,23,21485,13.06,10.22,11.64,
volvo,four,sedan,four,160,19,25,19045,12.37,9.40,10.88,
volvo,four,wagon,four,162,17,22,18950,13.82,10.68,12.25,
volvo,four,sedan,four,162,17,22,18420,13.82,10.68,12.25,
volvo,four,sedan,four,114,23,28,16845,10.22,8.39,9.31,
volvo,four,wagon,four,114,24,28,16515,9.79,8.39,9.09,
volvo,four,sedan,four,114,24,28,15985,9.79,8.39,9.09,
volvo,four,wagon,four,114,23,28,13415,10.22,8.39,9.31,
volvo,four,sedan,four,114,23,28,12940,10.22,8.39,9.31,
